,No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,LABEL
9306,9307,2014,3,23,18,165.0,208.0,47.0,36.0,1200.0,166.0,17.1,1009.9,0.3,0.0,ESE,1.3,Changping,LIGHTLY_POLLUTED
9307,9308,2014,3,23,19,160.0,199.0,44.0,46.0,1400.0,147.0,16.1,1010.1,-0.6,0.0,E,2.1,Changping,LIGHTLY_POLLUTED
9308,9309,2014,3,23,20,168.0,213.0,44.0,62.0,1700.0,105.0,15.6,1010.1,-0.2,0.0,ESE,3.0,Changping,LIGHTLY_POLLUTED
9309,9310,2014,3,23,21,213.0,260.0,61.0,82.0,2100.0,69.0,14.3,1010.0,0.5,0.0,ESE,3.1,Changping,LIGHTLY_POLLUTED
9310,9311,2014,3,23,22,227.0,279.0,64.0,77.0,2300.0,64.0,13.4,1010.0,0.7,0.0,E,2.3,Changping,LIGHTLY_POLLUTED
9311,9312,2014,3,23,23,225.0,281.0,57.0,70.0,2200.0,58.0,12.7,1009.8,1.1,0.0,E,2.4,Changping,LIGHTLY_POLLUTED
9312,9313,2014,3,24,0,224.0,262.0,55.0,70.0,2100.0,50.0,11.0,1009.3,0.7,0.0,NNW,1.0,Changping,LIGHTLY_POLLUTED
9313,9314,2014,3,24,1,223.0,245.0,54.0,69.0,1900.0,46.0,9.5,1008.9,0.6,0.0,SSW,0.8,Changping,LIGHTLY_POLLUTED
9314,9315,2014,3,24,2,225.0,245.0,54.0,77.0,1900.0,34.0,8.0,1008.3,-0.5,0.0,NNW,1.1,Changping,LIGHTLY_POLLUTED
9315,9316,2014,3,24,3,202.0,219.0,42.0,66.0,1900.0,34.0,7.0,1007.7,-0.5,0.0,NW,0.6,Changping,LIGHTLY_POLLUTED
9316,9317,2014,3,24,4,188.0,199.0,36.0,64.0,2100.0,19.0,6.2,1007.5,-0.5,0.0,NW,0.7,Changping,LIGHTLY_POLLUTED
9317,9318,2014,3,24,5,212.0,261.0,31.0,64.0,2300.0,2.0,6.6,1007.3,-0.2,0.0,NNW,1.1,Changping,LIGHTLY_POLLUTED
9318,9319,2014,3,24,6,218.0,231.0,31.0,92.0,2200.0,5.0,6.8,1007.4,-0.2,0.0,NNW,1.2,Changping,LIGHTLY_POLLUTED
9319,9320,2014,3,24,7,191.0,206.0,34.0,68.0,2000.0,18.0,8.0,1007.3,0.2,0.0,NW,0.9,Changping,LIGHTLY_POLLUTED
9320,9321,2014,3,24,8,193.0,216.0,42.0,74.0,2000.0,14.0,10.6,1007.1,0.6,0.0,SE,0.5,Changping,LIGHTLY_POLLUTED
9321,9322,2014,3,24,9,237.0,252.0,54.0,87.0,2300.0,12.0,12.6,1006.7,0.7,0.0,S,1.1,Changping,LIGHTLY_POLLUTED
9322,9323,2014,3,24,10,250.0,294.0,54.0,92.0,2300.0,24.0,14.5,1005.8,1.0,0.0,ESE,1.7,Changping,LIGHTLY_POLLUTED
9323,9324,2014,3,24,11,242.0,285.0,67.0,71.0,2000.0,72.0,16.6,1004.8,1.8,0.0,SSE,2.0,Changping,LIGHTLY_POLLUTED
9324,9325,2014,3,24,12,262.0,293.0,76.0,63.0,2000.0,106.0,18.6,1003.6,2.0,0.0,S,2.5,Changping,LIGHTLY_POLLUTED
9325,9326,2014,3,24,13,266.0,285.0,72.0,64.0,2000.0,120.0,19.7,1002.5,0.2,0.0,S,1.7,Changping,LIGHTLY_POLLUTED
9326,9327,2014,3,24,14,256.0,233.0,63.0,58.0,1800.0,151.0,20.6,1001.5,0.9,0.0,SSE,1.7,Changping,LIGHTLY_POLLUTED
9327,9328,2014,3,24,15,205.0,218.0,53.0,55.0,1600.0,172.0,20.6,1000.7,0.9,0.0,S,2.4,Changping,LIGHTLY_POLLUTED
9328,9329,2014,3,24,16,197.0,230.0,51.0,77.0,1700.0,158.0,20.3,1000.5,1.7,0.0,SSE,1.4,Changping,LIGHTLY_POLLUTED
9329,9330,2014,3,24,17,231.0,253.0,50.0,103.0,1800.0,122.0,19.4,1000.6,2.7,0.0,ESE,1.2,Changping,LIGHTLY_POLLUTED
9330,9331,2014,3,24,18,212.0,227.0,56.0,77.0,1500.0,129.0,17.6,1001.2,2.7,0.0,ENE,1.1,Changping,LIGHTLY_POLLUTED
9331,9332,2014,3,24,19,207.0,223.0,57.0,79.0,1500.0,108.0,15.3,1001.8,2.1,0.0,NNW,0.8,Changping,LIGHTLY_POLLUTED
9332,9333,2014,3,24,20,208.0,240.0,57.0,121.0,1800.0,52.0,14.2,1002.3,1.5,0.0,E,0.6,Changping,LIGHTLY_POLLUTED
9333,9334,2014,3,24,21,187.0,223.0,52.0,90.0,1900.0,65.0,13.9,1002.4,1.2,0.0,ESE,0.5,Changping,LIGHTLY_POLLUTED
9334,9335,2014,3,24,22,195.0,223.0,45.0,70.0,1800.0,80.0,12.5,1002.7,1.8,0.0,WNW,0.9,Changping,LIGHTLY_POLLUTED
9335,9336,2014,3,24,23,190.0,210.0,44.0,60.0,1700.0,78.0,11.2,1002.6,1.4,0.0,NNW,1.3,Changping,LIGHTLY_POLLUTED
9336,9337,2014,3,25,0,189.0,228.0,39.0,108.0,2000.0,26.0,10.7,1002.7,1.5,0.0,NNW,1.5,Changping,LIGHTLY_POLLUTED
9337,9338,2014,3,25,1,220.0,196.0,38.0,63.0,1700.0,62.0,9.9,1002.6,1.5,0.0,NNW,1.1,Changping,LIGHTLY_POLLUTED
9338,9339,2014,3,25,2,189.0,235.0,38.0,100.0,2100.0,24.0,9.4,1002.4,1.5,0.0,NNW,0.2,Changping,LIGHTLY_POLLUTED
9339,9340,2014,3,25,3,197.0,215.0,39.0,76.0,1800.0,42.0,10.1,1002.2,1.7,0.0,NNW,1.7,Changping,LIGHTLY_POLLUTED
9340,9341,2014,3,25,4,186.0,196.0,38.0,45.0,1600.0,64.0,10.0,1002.3,1.6,0.0,NNW,1.3,Changping,LIGHTLY_POLLUTED
9341,9342,2014,3,25,5,216.0,194.0,40.0,40.0,1600.0,67.0,9.1,1002.5,1.5,0.0,NNW,1.4,Changping,LIGHTLY_POLLUTED
9342,9343,2014,3,25,6,185.0,215.0,35.0,96.0,2100.0,12.0,9.9,1002.9,1.3,0.0,NNW,1.1,Changping,LIGHTLY_POLLUTED
9343,9344,2014,3,25,7,210.0,186.0,42.0,59.0,1600.0,52.0,12.5,1003.1,-1.1,0.0,NNW,1.4,Changping,LIGHTLY_POLLUTED
9344,9345,2014,3,25,8,193.0,153.0,47.0,51.0,1500.0,64.0,14.6,1003.2,0.8,0.0,SSW,0.6,Changping,LIGHTLY_POLLUTED
9345,9346,2014,3,25,9,194.0,239.0,44.0,88.0,2000.0,30.0,17.3,1003.1,0.9,0.0,ESE,1.2,Changping,LIGHTLY_POLLUTED
9346,9347,2014,3,25,10,241.0,414.0,45.0,141.0,2600.0,2.0,18.5,1002.6,0.6,0.0,SE,1.8,Changping,LIGHTLY_POLLUTED
9347,9348,2014,3,25,11,255.0,341.0,44.0,149.0,2300.0,9.0,19.8,1001.8,2.6,0.0,SSE,3.0,Changping,LIGHTLY_POLLUTED
9348,9349,2014,3,25,12,252.0,332.0,52.0,108.0,1800.0,68.0,20.8,1000.7,2.6,0.0,ESE,1.9,Changping,LIGHTLY_POLLUTED
9349,9350,2014,3,25,13,250.0,269.0,64.0,51.0,1500.0,156.0,21.8,999.7,3.0,0.0,SE,2.0,Changping,LIGHTLY_POLLUTED
9350,9351,2014,3,25,14,211.0,244.0,69.0,41.0,1500.0,188.0,22.1,998.9,2.7,0.0,SE,1.2,Changping,MODERATELY_POLLUTED
9351,9352,2014,3,25,15,203.0,244.0,73.0,37.0,1500.0,206.0,22.2,998.4,2.8,0.0,ESE,0.8,Changping,LIGHTLY_POLLUTED
9352,9353,2014,3,25,16,243.0,260.0,66.0,46.0,1500.0,216.0,21.8,998.3,2.5,0.0,ESE,1.3,Changping,MODERATELY_POLLUTED
9353,9354,2014,3,25,17,219.0,272.0,62.0,70.0,1800.0,194.0,21.0,998.4,3.2,0.0,SE,2.0,Changping,MODERATELY_POLLUTED
9354,9355,2014,3,25,18,250.0,282.0,56.0,84.0,1700.0,166.0,19.5,999.0,3.6,0.0,E,0.9,Changping,LIGHTLY_POLLUTED
9355,9356,2014,3,25,19,213.0,255.0,48.0,80.0,1500.0,137.0,17.6,999.8,3.8,0.0,NE,0.6,Changping,LIGHTLY_POLLUTED
9356,9357,2014,3,25,20,223.0,248.0,45.0,112.0,1800.0,76.0,15.9,1000.3,3.7,0.0,N,1.5,Changping,LIGHTLY_POLLUTED
9357,9358,2014,3,25,21,227.0,252.0,44.0,124.0,1900.0,51.0,15.6,1000.7,4.0,0.0,ENE,1.6,Changping,LIGHTLY_POLLUTED
9358,9359,2014,3,25,22,227.0,252.0,44.0,124.0,1900.0,51.0,15.0,1000.6,3.8,0.0,SSE,0.6,Changping,LIGHTLY_POLLUTED
9359,9360,2014,3,25,23,177.0,190.0,42.0,41.0,1400.0,121.0,13.2,1000.8,3.5,0.0,NNW,1.4,Changping,LIGHTLY_POLLUTED
9360,9361,2014,3,26,0,168.0,207.0,39.0,88.0,1700.0,64.0,12.8,1000.8,3.7,0.0,NNE,0.8,Changping,LIGHTLY_POLLUTED
9361,9362,2014,3,26,1,182.0,211.0,34.0,97.0,1600.0,51.0,12.2,1000.9,3.7,0.0,NW,1.4,Changping,LIGHTLY_POLLUTED
9362,9363,2014,3,26,2,163.0,172.0,34.0,54.0,1300.0,87.0,11.3,1000.7,3.6,0.0,ENE,0.8,Changping,LIGHTLY_POLLUTED
9363,9364,2014,3,26,3,197.0,211.0,29.0,134.0,1700.0,3.0,10.3,1001.1,3.6,0.0,W,0.7,Changping,LIGHTLY_POLLUTED
9364,9365,2014,3,26,4,163.0,193.0,24.0,100.0,1400.0,29.0,10.2,1001.3,3.7,0.0,NNW,1.8,Changping,LIGHTLY_POLLUTED
9365,9366,2014,3,26,5,157.0,168.0,27.0,48.0,1300.0,80.0,8.8,1002.1,3.4,0.0,NNW,1.4,Changping,LIGHTLY_POLLUTED
9366,9367,2014,3,26,6,194.0,218.0,21.0,114.0,2000.0,3.0,9.4,1002.7,3.8,0.0,N,0.1,Changping,LIGHTLY_POLLUTED
9367,9368,2014,3,26,7,201.0,228.0,24.0,117.0,1900.0,4.0,10.8,1003.3,4.3,0.0,NNW,0.9,Changping,LIGHTLY_POLLUTED
9368,9369,2014,3,26,8,221.0,310.0,37.0,123.0,2600.0,3.0,14.8,1003.5,4.5,0.0,NNW,0.7,Changping,LIGHTLY_POLLUTED
9369,9370,2014,3,26,9,234.0,286.0,51.0,116.0,2200.0,16.0,16.8,1003.5,4.8,0.0,SSW,1.7,Changping,LIGHTLY_POLLUTED
9370,9371,2014,3,26,10,243.0,304.0,54.0,128.0,2000.0,24.0,18.3,1002.8,4.5,0.0,ESE,1.8,Changping,LIGHTLY_POLLUTED
9371,9372,2014,3,26,11,259.0,319.0,47.0,129.0,1800.0,39.0,19.8,1002.0,6.5,0.0,E,1.5,Changping,LIGHTLY_POLLUTED
9372,9373,2014,3,26,12,257.0,332.0,49.0,83.0,1700.0,94.0,21.0,1001.0,7.9,0.0,SSE,3.2,Changping,LIGHTLY_POLLUTED
9373,9374,2014,3,26,13,298.0,346.0,58.0,72.0,1900.0,113.0,21.9,999.9,8.0,0.0,ESE,1.7,Changping,LIGHTLY_POLLUTED
9374,9375,2014,3,26,14,260.0,295.0,57.0,58.0,1700.0,147.0,22.4,999.2,8.1,0.0,SE,1.6,Changping,LIGHTLY_POLLUTED
9375,9376,2014,3,26,15,247.0,296.0,50.0,63.0,1700.0,173.0,23.0,998.5,7.9,0.0,NE,1.4,Changping,LIGHTLY_POLLUTED
9376,9377,2014,3,26,16,264.0,329.0,49.0,82.0,1900.0,170.0,22.4,998.5,8.5,0.0,ENE,1.2,Changping,LIGHTLY_POLLUTED
9377,9378,2014,3,26,17,319.0,344.0,46.0,93.0,2000.0,157.0,21.8,999.2,8.3,0.0,E,1.5,Changping,LIGHTLY_POLLUTED
9378,9379,2014,3,26,18,327.0,347.0,47.0,99.0,2100.0,144.0,20.0,999.7,8.3,0.0,NE,0.7,Changping,LIGHTLY_POLLUTED
9379,9380,2014,3,26,19,335.0,363.0,43.0,129.0,2300.0,104.0,18.6,1000.5,8.0,0.0,NE,0.8,Changping,LIGHTLY_POLLUTED
9380,9381,2014,3,26,20,306.0,350.0,41.0,128.0,2500.0,78.0,17.7,1001.2,7.4,0.0,WSW,0.5,Changping,LIGHTLY_POLLUTED
9381,9382,2014,3,26,21,331.0,304.0,41.0,78.0,2200.0,106.0,16.4,1001.9,7.3,0.0,NW,1.5,Changping,LIGHTLY_POLLUTED
9382,9383,2014,3,26,22,286.0,315.0,39.0,71.0,2100.0,101.0,14.8,1002.1,7.3,0.0,NNE,0.8,Changping,LIGHTLY_POLLUTED
9383,9384,2014,3,26,23,290.0,312.0,31.0,73.0,2100.0,84.0,13.9,1002.3,7.4,0.0,NW,1.0,Changping,LIGHTLY_POLLUTED
9384,9385,2014,3,27,0,335.0,292.0,31.0,49.0,2000.0,98.0,13.9,1002.3,7.2,0.0,NNW,1.2,Changping,LIGHTLY_POLLUTED
9385,9386,2014,3,27,1,342.0,300.0,34.0,56.0,2100.0,89.0,13.4,1002.2,7.2,0.0,NNW,1.1,Changping,LIGHTLY_POLLUTED
9386,9387,2014,3,27,2,343.0,315.0,30.0,96.0,2300.0,45.0,12.8,1002.2,7.5,0.0,NNE,0.8,Changping,LIGHTLY_POLLUTED
9387,9388,2014,3,27,3,342.0,303.0,29.0,83.0,2100.0,60.0,11.9,1002.4,7.2,0.0,ESE,0.7,Changping,LIGHTLY_POLLUTED
9388,9389,2014,3,27,4,339.0,288.0,20.0,84.0,2100.0,36.0,11.9,1003.1,7.4,0.0,NW,0.5,Changping,LIGHTLY_POLLUTED
9389,9390,2014,3,27,5,336.0,297.0,17.0,84.0,2000.0,50.0,11.7,1003.3,7.4,0.0,NNW,1.2,Changping,LIGHTLY_POLLUTED
9390,9391,2014,3,27,6,326.0,274.0,17.0,68.0,2100.0,48.0,11.7,1004.2,7.4,0.0,NW,0.9,Changping,LIGHTLY_POLLUTED
9391,9392,2014,3,27,7,287.0,316.0,20.0,115.0,2600.0,8.0,13.0,1004.8,7.9,0.0,NW,0.7,Changping,LIGHTLY_POLLUTED
9392,9393,2014,3,27,8,364.0,387.0,25.0,123.0,2600.0,4.0,14.5,1005.4,8.4,0.0,N,0.8,Changping,LIGHTLY_POLLUTED
9393,9394,2014,3,27,9,383.0,436.0,35.0,135.0,3100.0,3.0,15.8,1005.4,9.0,0.0,E,1.0,Changping,LIGHTLY_POLLUTED
9394,9395,2014,3,27,10,356.0,395.0,49.0,119.0,2800.0,7.0,16.0,1005.1,9.0,0.0,SE,1.6,Changping,LIGHTLY_POLLUTED
9395,9396,2014,3,27,11,333.0,353.0,69.0,107.0,3800.0,13.0,15.9,1004.5,9.1,0.0,ESE,2.2,Changping,LIGHTLY_POLLUTED
9396,9397,2014,3,27,12,338.0,365.0,88.0,111.0,4600.0,13.0,14.6,1003.5,8.8,0.0,ESE,2.7,Changping,LIGHTLY_POLLUTED
9397,9398,2014,3,27,13,347.0,378.0,83.0,107.0,5400.0,9.0,14.5,1003.0,6.6,0.0,E,2.4,Changping,LIGHTLY_POLLUTED
9398,9399,2014,3,27,14,254.0,204.0,55.0,73.0,3000.0,18.0,14.4,1002.4,5.7,0.0,E,1.4,Changping,LIGHTLY_POLLUTED
9399,9400,2014,3,27,15,155.0,139.0,49.0,65.0,1800.0,22.0,14.4,1001.7,6.0,0.0,ENE,1.2,Changping,LIGHTLY_POLLUTED
9400,9401,2014,3,27,16,134.0,161.0,44.0,66.0,1900.0,21.0,14.5,1000.9,5.0,0.0,NE,0.8,Changping,LIGHTLY_POLLUTED
9401,9402,2014,3,27,17,88.0,128.0,46.0,65.0,1700.0,24.0,14.2,1000.3,6.5,0.0,NNW,0.9,Changping,LIGHTLY_POLLUTED
9402,9403,2014,3,27,18,110.0,144.0,46.0,64.0,1700.0,26.0,14.1,1000.3,6.4,0.0,ENE,0.6,Changping,LIGHTLY_POLLUTED
9403,9404,2014,3,27,19,104.0,130.0,47.0,67.0,1700.0,23.0,14.3,1000.4,5.9,0.0,NNE,0.6,Changping,LIGHTLY_POLLUTED
9404,9405,2014,3,27,20,151.0,241.0,40.0,72.0,1900.0,13.0,13.9,1000.6,6.3,0.0,W,1.5,Changping,LIGHTLY_POLLUTED
9405,9406,2014,3,27,21,147.0,208.0,43.0,81.0,2000.0,8.0,13.9,1000.7,6.0,0.0,NW,0.7,Changping,LIGHTLY_POLLUTED
9406,9407,2014,3,27,22,174.0,274.0,42.0,85.0,2200.0,3.0,13.4,1000.0,5.8,0.0,W,0.8,Changping,LIGHTLY_POLLUTED
9407,9408,2014,3,27,23,153.0,206.0,48.0,82.0,2000.0,4.0,13.1,999.6,5.5,0.0,NW,0.9,Changping,LIGHTLY_POLLUTED
9408,9409,2014,3,28,0,153.0,206.0,48.0,82.0,2000.0,4.0,13.1,1000.1,5.5,0.0,NW,2.0,Changping,LIGHTLY_POLLUTED
9409,9410,2014,3,28,1,142.0,210.0,38.0,77.0,1900.0,2.0,13.2,999.4,7.2,0.1,N,1.0,Changping,LIGHTLY_POLLUTED
9410,9411,2014,3,28,2,142.0,210.0,38.0,77.0,1900.0,2.0,12.1,999.1,9.5,1.3,NNW,1.1,Changping,LIGHTLY_POLLUTED
9411,9412,2014,3,28,3,130.0,229.0,20.0,68.0,1700.0,11.0,11.9,998.8,10.1,0.5,NNW,1.2,Changping,LIGHTLY_POLLUTED
9412,9413,2014,3,28,4,130.0,229.0,20.0,68.0,1700.0,11.0,11.8,999.0,10.5,0.1,NE,0.9,Changping,LIGHTLY_POLLUTED
9413,9414,2014,3,28,5,95.0,126.0,12.0,62.0,1700.0,6.0,12.8,999.1,10.9,1.0,ENE,0.6,Changping,LIGHTLY_POLLUTED
9414,9415,2014,3,28,6,104.0,115.0,10.0,59.0,1800.0,4.0,12.2,999.4,10.8,0.3,NNE,1.1,Changping,LIGHTLY_POLLUTED
9415,9416,2014,3,28,7,104.0,121.0,10.0,57.0,1800.0,3.0,13.1,999.7,11.2,0.0,WSW,0.9,Changping,LIGHTLY_POLLUTED
9416,9417,2014,3,28,8,108.0,132.0,10.0,62.0,1700.0,3.0,13.2,1000.0,11.3,0.0,ENE,1.3,Changping,LIGHTLY_POLLUTED
9417,9418,2014,3,28,9,111.0,140.0,11.0,63.0,2400.0,2.0,16.0,999.2,10.5,0.0,NNE,0.7,Changping,LIGHTLY_POLLUTED
9418,9419,2014,3,28,10,119.0,133.0,9.0,53.0,1800.0,8.0,18.8,998.5,11.1,0.0,S,3.0,Changping,LIGHTLY_POLLUTED
9419,9420,2014,3,28,11,96.0,29.0,30.0,27.0,800.0,49.0,19.7,998.5,10.4,0.0,ESE,2.7,Changping,GOOD
9420,9421,2014,3,28,12,94.0,144.0,25.0,34.0,900.0,56.0,20.5,998.0,9.4,0.0,ESE,2.7,Changping,GOOD
9421,9422,2014,3,28,13,73.0,96.0,19.0,24.0,900.0,82.0,21.6,997.1,8.1,0.0,SE,1.9,Changping,GOOD
9422,9423,2014,3,28,14,84.0,57.0,16.0,16.0,700.0,101.0,22.9,996.6,7.4,0.0,SE,2.5,Changping,GOOD
9423,9424,2014,3,28,15,79.0,93.0,12.0,16.0,600.0,110.0,23.1,996.3,6.4,0.0,ESE,2.2,Changping,GOOD
9424,9425,2014,3,28,16,72.0,76.0,9.0,17.0,600.0,116.0,22.6,996.4,5.5,0.0,SSE,2.2,Changping,GOOD
9425,9426,2014,3,28,17,64.0,97.0,8.0,23.0,500.0,111.0,21.6,996.8,5.5,0.0,SSE,2.5,Changping,GOOD
9426,9427,2014,3,28,18,68.0,141.0,8.0,29.0,600.0,102.0,19.6,997.7,8.0,0.0,E,2.3,Changping,GOOD
9427,9428,2014,3,28,19,87.0,210.0,13.0,49.0,1100.0,86.0,18.0,999.3,8.5,0.0,E,2.4,Changping,LIGHTLY_POLLUTED
9428,9429,2014,3,28,20,145.0,231.0,24.0,68.0,2200.0,62.0,16.8,1001.2,8.5,0.0,ENE,1.4,Changping,LIGHTLY_POLLUTED
9429,9430,2014,3,28,21,165.0,204.0,31.0,72.0,2600.0,42.0,16.5,1001.9,4.8,0.0,N,1.0,Changping,LIGHTLY_POLLUTED
9430,9431,2014,3,28,22,159.0,168.0,31.0,70.0,2600.0,33.0,16.5,1002.4,0.6,0.0,N,1.2,Changping,LIGHTLY_POLLUTED
9431,9432,2014,3,28,23,64.0,5.0,20.0,26.0,900.0,58.0,15.0,1003.0,0.8,0.0,E,0.6,Changping,EXCELLENT
9432,9433,2014,3,29,0,3.0,9.0,7.0,14.0,300.0,66.0,16.1,1002.8,0.6,0.0,NE,3.2,Changping,EXCELLENT
9433,9434,2014,3,29,1,12.0,22.0,6.0,11.0,300.0,65.0,14.6,1002.6,0.8,0.0,ENE,1.0,Changping,EXCELLENT
9434,9435,2014,3,29,2,14.0,21.0,5.0,6.0,200.0,71.0,14.1,1002.8,1.4,0.0,NW,1.7,Changping,EXCELLENT
9435,9436,2014,3,29,3,12.0,35.0,4.0,6.0,300.0,69.0,13.1,1003.1,1.4,0.0,NNW,1.5,Changping,EXCELLENT
9436,9437,2014,3,29,4,19.0,39.0,6.0,24.0,300.0,48.0,13.2,1003.5,1.2,0.0,NNW,2.2,Changping,EXCELLENT
9437,9438,2014,3,29,5,16.0,57.0,7.0,29.0,300.0,41.0,13.1,1004.3,1.4,0.0,N,2.5,Changping,EXCELLENT
9438,9439,2014,3,29,6,19.0,55.0,4.0,13.0,300.0,58.0,13.3,1005.4,1.3,0.0,NNE,1.7,Changping,EXCELLENT
9439,9440,2014,3,29,7,21.0,67.0,5.0,14.0,300.0,59.0,15.1,1006.0,1.6,0.0,NNW,1.6,Changping,EXCELLENT
9440,9441,2014,3,29,8,21.0,68.0,6.0,18.0,300.0,56.0,16.5,1006.3,1.4,0.0,NW,2.6,Changping,EXCELLENT
9441,9442,2014,3,29,9,20.0,58.0,5.0,15.0,300.0,67.0,17.9,1006.4,1.4,0.0,NW,1.4,Changping,EXCELLENT
9442,9443,2014,3,29,10,21.0,53.0,3.0,10.0,300.0,82.0,19.5,1005.7,1.4,0.0,NW,1.7,Changping,GOOD
9443,9444,2014,3,29,11,17.0,50.0,3.0,9.0,300.0,90.0,20.4,1004.8,0.8,0.0,NNW,2.9,Changping,GOOD
9444,9445,2014,3,29,12,18.0,48.0,2.0,9.0,300.0,94.0,21.3,1003.9,1.0,0.0,WSW,2.7,Changping,EXCELLENT
9445,9446,2014,3,29,13,21.0,49.0,2.0,10.0,300.0,98.0,22.2,1003.2,0.7,0.0,WNW,5.3,Changping,EXCELLENT
9446,9447,2014,3,29,14,24.0,50.0,2.0,10.0,300.0,102.0,22.7,1002.4,0.5,0.0,NE,2.8,Changping,GOOD
9447,9448,2014,3,29,15,28.0,76.0,8.0,15.0,400.0,101.0,23.3,1001.7,0.4,0.0,W,2.2,Changping,GOOD
9448,9449,2014,3,29,16,28.0,75.0,8.0,12.0,400.0,109.0,22.9,1001.6,-1.3,0.0,NW,2.3,Changping,GOOD
9449,9450,2014,3,29,17,27.0,45.0,12.0,15.0,400.0,111.0,22.0,1002.0,-2.7,0.0,W,1.6,Changping,EXCELLENT
9450,9451,2014,3,29,18,9.0,11.0,13.0,24.0,400.0,100.0,20.4,1002.7,-2.1,0.0,WSW,1.1,Changping,EXCELLENT
9451,9452,2014,3,29,19,24.0,34.0,10.0,51.0,500.0,64.0,18.6,1003.5,-0.8,0.0,NE,0.8,Changping,EXCELLENT
9452,9453,2014,3,29,20,31.0,82.0,9.0,76.0,600.0,33.0,17.1,1004.4,0.3,0.0,NNE,0.7,Changping,GOOD
9453,9454,2014,3,29,21,38.0,127.0,8.0,61.0,600.0,41.0,15.4,1005.0,0.0,0.0,ENE,0.8,Changping,GOOD
9454,9455,2014,3,29,22,32.0,44.0,12.0,45.0,600.0,50.0,16.5,1005.0,-1.2,0.0,WNW,0.6,Changping,EXCELLENT
9455,9456,2014,3,29,23,24.0,36.0,9.0,22.0,400.0,70.0,14.2,1005.4,-1.1,0.0,N,1.6,Changping,EXCELLENT
9456,9457,2014,3,30,0,20.0,30.0,7.0,44.0,500.0,41.0,12.8,1005.9,-0.5,0.0,NW,1.1,Changping,EXCELLENT
9457,9458,2014,3,30,1,19.0,27.0,6.0,42.0,500.0,42.0,11.4,1005.8,-0.4,0.0,SSW,0.3,Changping,EXCELLENT
9458,9459,2014,3,30,2,27.0,45.0,6.0,68.0,600.0,16.0,10.9,1005.7,-0.3,0.0,WNW,1.1,Changping,EXCELLENT
9459,9460,2014,3,30,3,18.0,5.0,3.0,24.0,300.0,67.0,12.8,1005.9,-3.1,0.0,WNW,0.8,Changping,EXCELLENT
9460,9461,2014,3,30,4,12.0,18.0,5.0,21.0,300.0,58.0,13.5,1006.0,-3.3,0.0,N,3.2,Changping,EXCELLENT
9461,9462,2014,3,30,5,14.0,23.0,8.0,21.0,300.0,60.0,13.4,1006.5,-3.4,0.0,NNW,0.9,Changping,EXCELLENT
9462,9463,2014,3,30,6,20.0,57.0,15.0,25.0,400.0,49.0,13.6,1007.2,-2.8,0.0,NW,1.2,Changping,EXCELLENT
9463,9464,2014,3,30,7,19.0,31.0,23.0,46.0,600.0,30.0,16.6,1007.5,-3.0,0.0,N,2.3,Changping,EXCELLENT
9464,9465,2014,3,30,8,25.0,48.0,51.0,36.0,700.0,40.0,19.6,1007.6,-3.3,0.0,N,2.8,Changping,EXCELLENT
9465,9466,2014,3,30,9,26.0,51.0,37.0,29.0,600.0,52.0,22.1,1007.5,-4.9,0.0,NNW,2.0,Changping,EXCELLENT
9466,9467,2014,3,30,10,24.0,38.0,23.0,22.0,400.0,65.0,23.2,1007.1,-4.0,0.0,W,1.2,Changping,EXCELLENT
9467,9468,2014,3,30,11,20.0,52.0,17.0,27.0,400.0,67.0,24.0,1006.6,-1.8,0.0,ESE,2.2,Changping,EXCELLENT
9468,9469,2014,3,30,12,19.0,89.0,17.0,31.0,400.0,70.0,24.8,1005.7,-3.6,0.0,SSE,2.5,Changping,GOOD
9469,9470,2014,3,30,13,28.0,51.0,11.0,22.0,400.0,88.0,25.4,1004.6,-5.0,0.0,SSE,3.0,Changping,GOOD
9470,9471,2014,3,30,14,8.0,23.0,8.0,17.0,300.0,97.0,25.9,1003.5,-5.7,0.0,SSE,2.4,Changping,EXCELLENT
9471,9472,2014,3,30,15,17.0,35.0,6.0,16.0,300.0,103.0,26.0,1003.4,-5.6,0.0,SSW,2.6,Changping,EXCELLENT
9472,9473,2014,3,30,16,24.0,39.0,5.0,17.0,300.0,105.0,25.0,1003.9,-6.4,0.0,S,2.9,Changping,EXCELLENT
9473,9474,2014,3,30,17,19.0,50.0,5.0,17.0,300.0,106.0,23.8,1004.8,-6.3,0.0,S,2.4,Changping,GOOD
9474,9475,2014,3,30,18,20.0,50.0,3.0,24.0,300.0,102.0,22.8,1005.3,-6.1,0.0,SE,2.4,Changping,GOOD
9475,9476,2014,3,30,19,22.0,55.0,3.0,40.0,300.0,83.0,21.9,1006.1,-5.9,0.0,SSE,1.8,Changping,GOOD
9476,9477,2014,3,30,20,27.0,81.0,4.0,53.0,400.0,61.0,20.4,1006.6,-4.0,0.0,E,1.5,Changping,GOOD
9477,9478,2014,3,30,21,40.0,112.0,5.0,69.0,500.0,40.0,18.5,1006.7,-3.6,0.0,N,0.9,Changping,GOOD
9478,9479,2014,3,30,22,44.0,130.0,6.0,99.0,700.0,2.0,17.1,1006.8,-3.7,0.0,NW,0.7,Changping,GOOD
